Código,Produto,Princípio Ativo,Categoria,Preço (R$),Estoque,Receita Obrigatória
PP-001,Aradois 50mg,Losartana Potássica,Anti-hipertensivo,34.90,120,Não
PP-002,Amoxil 500mg,Amoxicilina,Antibiótico,48.50,45,Sim
PP-003,Glifage XR 500mg,Cloridrato de Metformina,Antidiabético,18.90,200,Não
PP-004,Tylenol 750mg,Paracetamol,Analgésico,12.50,350,Não
PP-005,Ritalina 10mg,Cloridrato de Metilfenidato,Psicoestimulante,72.00,15,Sim
PP-006,Crestor 10mg,Rosuvastatina Cálcica,Colesterol,89.90,80,Não
PP-007,Buscopan Duo,Butilbrometo de escopolamina + paracetamol,Antiespasmódico,22.40,150,Não
PP-008,Roacutan 20mg,Isotretinoína,Dermatológico,149.00,30,Sim
PP-009,Xarelto 20mg,Rivaroxabana,Anticoagulante,210.00,25,Não
PP-010,Insulina Lantus Solostar,Insulina Glargina,Diabetes (Injetável),185.00,18,Não
